model,condition,severity,n_repeats,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,precision_mean,precision_ci_lower,precision_ci_upper,recall_mean,recall_ci_lower,recall_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,roc_auc_mean,roc_auc_ci_lower,roc_auc_ci_upper,global_spearman_mean,global_spearman_ci_lower,global_spearman_ci_upper,global_kendall_mean,global_kendall_ci_lower,global_kendall_ci_upper,jaccard_top_k_mean,jaccard_top_k_ci_lower,jaccard_top_k_ci_upper,instance_cosine_mean_mean,instance_cosine_mean_ci_lower,instance_cosine_mean_ci_upper,instance_rank_corr_mean_mean,instance_rank_corr_mean_ci_lower,instance_rank_corr_mean_ci_upper
RandomForest,Noise,0.1,50,0.9077866061293983,0.9072415815361333,0.9083240635641316,0.7393715633900958,0.7380579312494651,0.7407019950368569,0.7289064195480315,0.7257122729592832,0.7320343139606802,0.5083798882681565,0.5058645251396648,0.5110055865921788,0.5989364946031743,0.5965349927026303,0.6014194830069869,0.9278628167671111,0.9274147341784531,0.9283305572534014,0.9967518796992481,0.996390977443609,0.9970526315789475,0.9778947368421052,0.976,0.9797894736842104,0.9933333333333334,0.98,1.0,0.9872222370276589,0.9860633909468126,0.9882711699060073,0.9863494736842106,0.9854817969924812,0.9871717293233082
RandomForest,Noise,0.2,50,0.9049943246311011,0.9042981460461597,0.9057888762769579,0.732385780472599,0.7307457238732077,0.7342406339009572,0.7158177480921117,0.7114046029990825,0.7203578197421807,0.49564245810055874,0.49245810055865924,0.4993296089385475,0.5855995614019767,0.5826075698608714,0.5890060724916829,0.9203914648607019,0.919542283595956,0.9212453229099177,0.9953684210526316,0.9949473684210527,0.9958195488721805,0.9694736842105265,0.9671578947368421,0.9717894736842106,0.9066666666666667,0.86,0.9466666666666665,0.9601703889217739,0.9579278807300008,0.9622802753940045,0.9678553383458646,0.9665722781954885,0.969077992481203
RandomForest,Noise,0.3,50,0.9000681044267879,0.8992735527809308,0.9009004918653046,0.7210092783883231,0.7189902017652164,0.7232339504663643,0.6905795631547386,0.68602305047199,0.6951961015704814,0.4754189944134078,0.4714525139664804,0.4797779329608938,0.5630287956739584,0.5593404472394945,0.5669921638154101,0.9097132501253011,0.9086524473430068,0.910845956138528,0.9947368421052631,0.9942857142857144,0.995187969924812,0.9650526315789476,0.9625263157894737,0.9677894736842105,0.8933333333333333,0.8466666666666666,0.9333333333333332,0.9239982186697097,0.9201340372631945,0.9276006568164343,0.9455224060150376,0.9433270075187968,0.9475815714285714
XGBoost,Corruption,0.05,50,0.8627544457056376,0.8622777147181233,0.8632540673477109,0.8752322653203427,0.8744614360109044,0.8760257829786195,0.49633337888574564,0.49535832900292265,0.49736092830186845,0.8923463687150837,0.8908938547486034,0.893798882681564,0.6378673245732116,0.636806747003242,0.6389870880369697,0.943206288277936,0.9427289530946299,0.943672063371759,0.9965413533834586,0.9950977443609021,0.9977744360902255,0.9854736842105264,0.9810526315789474,0.9896842105263155,1.0,1.0,1.0,0.9873966972909867,0.9856710250101891,0.9891307260674052,0.9846484210526314,0.9834087218045113,0.985835
XGBoost,Corruption,0.1,50,0.8574120317820657,0.8565342413923571,0.8582746878547105,0.8713416256127526,0.8703252298204224,0.8723271704582962,0.48569803704299325,0.4839939863144968,0.4873794594557937,0.8904469273743015,0.888659217877095,0.8921787709497206,0.6285271194246641,0.6269094945722473,0.63008684995229,0.9392097111352884,0.9386135612385853,0.9397775515567889,0.992421052631579,0.9904353383458645,0.9942857142857143,0.9696842105263158,0.9637842105263158,0.9753684210526314,1.0,1.0,1.0,0.9739368142441848,0.9714607843003118,0.9762302721116064,0.9682622556390977,0.9664116917293233,0.9699952781954887
XGBoost,Corruption,0.2,50,0.8457661748013621,0.8447292849035187,0.8468257661748014,0.8613320293876751,0.8598386061635882,0.8627472840238133,0.46366259915545116,0.4617640009314766,0.4656018590145853,0.8826815642458099,0.8798882681564245,0.8854189944134078,0.6079357455053347,0.6060020323046654,0.6098948467014351,0.931520298766549,0.9305897589330464,0.9324681970710121,0.9857443609022556,0.9839999999999998,0.9874894736842106,0.9477894736842104,0.941684210526316,0.9534736842105264,1.0,1.0,1.0,0.9483528632305098,0.9441467606388418,0.9525858461648693,0.9353097744360902,0.9324785338345865,0.9381724661654135
XGBoost,Corruption,0.3,50,0.8332803632236095,0.8320090805902385,0.8344986757472569,0.8519673728347372,0.8504717281151059,0.8534855402613596,0.441993816823074,0.43990545340085346,0.4440132087557124,0.8775977653631286,0.8751396648044694,0.8802793296089385,0.5878602299967565,0.5856969418009045,0.5900081826937117,0.9239137317702284,0.9229241986846449,0.9248688807256458,0.9860150375939848,0.9839398496240601,0.9881203007518796,0.9471578947368422,0.9406315789473685,0.9538947368421052,1.0,1.0,1.0,0.9267155311636627,0.9221870029055561,0.931135366051956,0.9048294736842105,0.9011923909774437,0.9083457218045112
XGBoost,MCAR,0.05,50,0.8620431328036322,0.8612183125236474,0.8628755202421491,0.8606162610173222,0.8587295603461975,0.8623334034204125,0.4947031836090083,0.49295676478117695,0.49645451766868637,0.858659217877095,0.8549706703910616,0.8620111731843575,0.6277183262390336,0.6255683655943235,0.6297886370645476,0.9296869796951214,0.9283446108333435,0.930939405950882,0.985984962406015,0.984721804511278,0.987278947368421,0.9414736842105264,0.9370526315789475,0.9461052631578947,1.0,1.0,1.0,0.9608443402862177,0.9562027681193035,0.9651589821218373,0.9555079699248121,0.9534863909774438,0.9575181804511277
XGBoost,MCAR,0.1,50,0.8564737041241014,0.8553386303443058,0.8575711312902006,0.8412354314633937,0.8388775475838295,0.843583717284207,0.4825256325556559,0.48010108125868733,0.48487324750174593,0.8203351955307263,0.815808659217877,0.8248044692737431,0.6075952727384842,0.6047699564487419,0.6103761676062937,0.9127608278424998,0.9108188593327874,0.9147180992750877,0.9808120300751878,0.9794887218045112,0.9820157894736842,0.921684210526316,0.9178947368421055,0.9254736842105263,1.0,1.0,1.0,0.9240387228570879,0.9184021189393151,0.929483677297791,0.9118745864661655,0.909001947368421,0.9146515112781956
XGBoost,MCAR,0.2,50,0.8475595913734394,0.8462954975406736,0.8487854710556186,0.8016403310392041,0.7987103883720648,0.8043189828001418,0.4609326856831161,0.4580225045899508,0.46371900276314576,0.738659217877095,0.7329050279329609,0.7437430167597765,0.5675928257190154,0.563948966693778,0.5709731346565915,0.8794983680305124,0.8770043027150594,0.8818390153784091,0.9720902255639097,0.9701954887218044,0.9740150375939848,0.8966315789473684,0.8924210526315788,0.900842105263158,1.0,1.0,1.0,0.8479109359153546,0.8403379009563069,0.8546721626825876,0.8275353383458647,0.8239612706766918,0.8310616842105263
